PassengerId,Survived,Person_class,Sex,Age,Fare,Embarked,Family_members,Alone
47,False,3,male,25.0,15.5,Queenstown,1,False
48,True,3,female,22.0,7.75,Queenstown,0,True
49,False,3,male,25.0,21.68,Cherbourg,2,False
50,False,3,female,18.0,17.8,Southampton,1,False
51,False,3,male,7.0,39.69,Southampton,5,False
52,False,3,male,21.0,7.8,Southampton,0,True
53,True,1,female,49.0,76.73,Cherbourg,1,False
54,True,2,female,29.0,26.0,Southampton,1,False
55,False,1,male,65.0,61.98,Cherbourg,1,False
56,True,1,male,40.0,35.5,Southampton,0,True
57,True,2,female,21.0,10.5,Southampton,0,True
58,False,3,male,28.5,7.23,Cherbourg,0,True
59,True,2,female,5.0,27.75,Southampton,3,False
60,False,3,male,11.0,46.9,Southampton,7,False
61,False,3,male,22.0,7.23,Cherbourg,0,True
62,True,1,female,38.0,80.0,,0,True
63,False,1,male,45.0,83.48,Southampton,1,False
64,False,3,male,4.0,27.9,Southampton,5,False
65,False,1,male,40.0,27.72,Cherbourg,0,True
66,True,3,male,25.0,15.25,Cherbourg,2,False
67,True,2,female,29.0,10.5,Southampton,0,True
68,False,3,male,19.0,8.16,Southampton,0,True
69,True,3,female,17.0,7.92,Southampton,6,False
70,False,3,male,26.0,8.66,Southampton,2,False
71,False,2,male,32.0,10.5,Southampton,0,True
72,False,3,female,16.0,46.9,Southampton,7,False
73,False,2,male,21.0,73.5,Southampton,0,True
74,False,3,male,26.0,14.45,Cherbourg,1,False
75,True,3,male,32.0,56.5,Southampton,0,True
76,False,3,male,25.0,7.65,Southampton,0,True
77,False,3,male,25.0,7.9,Southampton,0,True
78,False,3,male,25.0,8.05,Southampton,0,True
79,True,2,male,0.83,29.0,Southampton,2,False
80,True,3,female,30.0,12.48,Southampton,0,True
81,False,3,male,22.0,9.0,Southampton,0,True
82,True,3,male,29.0,9.5,Southampton,0,True
83,True,3,female,22.0,7.79,Queenstown,0,True
84,False,1,male,28.0,47.1,Southampton,0,True
85,True,2,female,17.0,10.5,Southampton,0,True
86,True,3,female,33.0,15.85,Southampton,3,False
87,False,3,male,16.0,34.38,Southampton,4,False
88,False,3,male,25.0,8.05,Southampton,0,True
89,True,1,female,23.0,263.0,Southampton,5,False
90,False,3,male,24.0,8.05,Southampton,0,True
91,False,3,male,29.0,8.05,Southampton,0,True
92,False,3,male,20.0,7.85,Southampton,0,True
93,False,1,male,46.0,61.18,Southampton,1,False
94,False,3,male,26.0,20.58,Southampton,3,False
95,False,3,male,59.0,7.25,Southampton,0,True
96,False,3,male,25.0,8.05,Southampton,0,True
97,False,1,male,71.0,34.65,Cherbourg,0,True
98,True,1,male,23.0,63.36,Cherbourg,1,False
99,True,2,female,34.0,23.0,Southampton,1,False
100,False,2,male,34.0,26.0,Southampton,1,False
101,False,3,female,28.0,7.9,Southampton,0,True
102,False,3,male,25.0,7.9,Southampton,0,True
103,False,1,male,21.0,77.29,Southampton,1,False
104,False,3,male,33.0,8.65,Southampton,0,True
105,False,3,male,37.0,7.92,Southampton,2,False
106,False,3,male,28.0,7.9,Southampton,0,True
107,True,3,female,21.0,7.65,Southampton,0,True
108,True,3,male,25.0,7.78,Southampton,0,True
109,False,3,male,38.0,7.9,Southampton,0,True
110,True,3,female,22.0,24.15,Queenstown,1,False
111,False,1,male,47.0,52.0,Southampton,0,True
112,False,3,female,14.5,14.45,Cherbourg,1,False
113,False,3,male,22.0,8.05,Southampton,0,True
114,False,3,female,20.0,9.82,Southampton,1,False
115,False,3,female,17.0,14.46,Cherbourg,0,True
116,False,3,male,21.0,7.92,Southampton,0,True
117,False,3,male,70.5,7.75,Queenstown,0,True
118,False,2,male,29.0,21.0,Southampton,1,False
119,False,1,male,24.0,247.52,Cherbourg,1,False
120,False,3,female,2.0,31.28,Southampton,6,False
121,False,2,male,21.0,73.5,Southampton,2,False
122,False,3,male,25.0,8.05,Southampton,0,True
123,False,2,male,32.5,30.07,Cherbourg,1,False
124,True,2,female,32.5,13.0,Southampton,0,True
125,False,1,male,54.0,77.29,Southampton,1,False
126,True,3,male,12.0,11.24,Cherbourg,1,False
127,False,3,male,25.0,7.75,Queenstown,0,True
128,True,3,male,24.0,7.14,Southampton,0,True
129,True,3,female,22.0,22.36,Cherbourg,2,False
130,False,3,male,45.0,6.98,Southampton,0,True
131,False,3,male,33.0,7.9,Cherbourg,0,True
132,False,3,male,20.0,7.05,Southampton,0,True
133,False,3,female,47.0,14.5,Southampton,1,False
134,True,2,female,29.0,26.0,Southampton,1,False
135,False,2,male,25.0,13.0,Southampton,0,True
136,False,2,male,23.0,15.05,Cherbourg,0,True
137,True,1,female,19.0,26.28,Southampton,2,False
138,False,1,male,37.0,53.1,Southampton,1,False
139,False,3,male,16.0,9.22,Southampton,0,True
140,False,1,male,24.0,79.2,Cherbourg,0,True
141,False,3,female,22.0,15.25,Cherbourg,2,False
142,True,3,female,22.0,7.75,Southampton,0,True
143,True,3,female,24.0,15.85,Southampton,1,False
144,False,3,male,19.0,6.75,Queenstown,0,True
145,False,2,male,18.0,11.5,Southampton,0,True
146,False,2,male,19.0,36.75,Southampton,2,False
147,True,3,male,27.0,7.8,Southampton,0,True
148,False,3,female,9.0,34.38,Southampton,4,False
149,False,2,male,36.5,26.0,Southampton,2,False
150,False,2,male,42.0,13.0,Southampton,0,True
151,False,2,male,51.0,12.52,Southampton,0,True
152,True,1,female,22.0,66.6,Southampton,1,False
153,False,3,male,55.5,8.05,Southampton,0,True
154,False,3,male,40.5,14.5,Southampton,2,False
155,False,3,male,25.0,7.31,Southampton,0,True
156,False,1,male,51.0,61.38,Cherbourg,1,False
157,True,3,female,16.0,7.73,Queenstown,0,True
158,False,3,male,30.0,8.05,Southampton,0,True
159,False,3,male,25.0,8.66,Southampton,0,True
160,False,3,male,25.0,69.55,Southampton,10,False
161,False,3,male,44.0,16.1,Southampton,1,False
162,True,2,female,40.0,15.75,Southampton,0,True
163,False,3,male,26.0,7.78,Southampton,0,True
164,False,3,male,17.0,8.66,Southampton,0,True
165,False,3,male,1.0,39.69,Southampton,5,False
166,True,3,male,9.0,20.52,Southampton,2,False
167,True,1,female,35.0,55.0,Southampton,1,False
168,False,3,female,45.0,27.9,Southampton,5,False
169,False,1,male,40.0,25.92,Southampton,0,True
170,False,3,male,28.0,56.5,Southampton,0,True
171,False,1,male,61.0,33.5,Southampton,0,True
172,False,3,male,4.0,29.12,Queenstown,5,False
173,True,3,female,1.0,11.13,Southampton,2,False
174,False,3,male,21.0,7.92,Southampton,0,True
175,False,1,male,56.0,30.7,Cherbourg,0,True
176,False,3,male,18.0,7.85,Southampton,2,False
177,False,3,male,25.0,25.47,Southampton,4,False
178,False,1,female,50.0,28.71,Cherbourg,0,True
179,False,2,male,30.0,13.0,Southampton,0,True
180,False,3,male,36.0,0.0,Southampton,0,True
181,False,3,female,22.0,69.55,Southampton,10,False
182,False,2,male,30.0,15.05,Cherbourg,0,True
183,False,3,male,9.0,31.39,Southampton,6,False
184,True,2,male,1.0,39.0,Southampton,3,False
185,True,3,female,4.0,22.02,Southampton,2,False
186,False,1,male,40.0,50.0,Southampton,0,True
187,True,3,female,22.0,15.5,Queenstown,1,False
188,True,1,male,45.0,26.55,Southampton,0,True
189,False,3,male,40.0,15.5,Queenstown,2,False
190,False,3,male,36.0,7.9,Southampton,0,True
191,True,2,female,32.0,13.0,Southampton,0,True
192,False,2,male,19.0,13.0,Southampton,0,True
193,True,3,female,19.0,7.85,Southampton,1,False
194,True,2,male,3.0,26.0,Southampton,2,False
195,True,1,female,44.0,27.72,Cherbourg,0,True
196,True,1,female,58.0,146.52,Cherbourg,0,True
197,False,3,male,25.0,7.75,Queenstown,0,True
198,False,3,male,42.0,8.4,Southampton,1,False
199,True,3,female,22.0,7.75,Queenstown,0,True
200,False,2,female,24.0,13.0,Southampton,0,True
201,False,3,male,28.0,9.5,Southampton,0,True
202,False,3,male,25.0,69.55,Southampton,10,False
203,False,3,male,34.0,6.5,Southampton,0,True
204,False,3,male,45.5,7.22,Cherbourg,0,True
205,True,3,male,18.0,8.05,Southampton,0,True
206,False,3,female,2.0,10.46,Southampton,1,False
207,False,3,male,32.0,15.85,Southampton,1,False
208,True,3,male,26.0,18.79,Cherbourg,0,True
209,True,3,female,16.0,7.75,Queenstown,0,True
210,True,1,male,40.0,31.0,Cherbourg,0,True
211,False,3,male,24.0,7.05,Southampton,0,True
212,True,2,female,35.0,21.0,Southampton,0,True
213,False,3,male,22.0,7.25,Southampton,0,True
214,False,2,male,30.0,13.0,Southampton,0,True
215,False,3,male,25.0,7.75,Queenstown,1,False
216,True,1,female,31.0,113.28,Cherbourg,1,False
217,True,3,female,27.0,7.92,Southampton,0,True
218,False,2,male,42.0,27.0,Southampton,1,False
219,True,1,female,32.0,76.29,Cherbourg,0,True
220,False,2,male,30.0,10.5,Southampton,0,True
221,True,3,male,16.0,8.05,Southampton,0,True
222,False,2,male,27.0,13.0,Southampton,0,True
223,False,3,male,51.0,8.05,Southampton,0,True
224,False,3,male,25.0,7.9,Southampton,0,True
225,True,1,male,38.0,90.0,Southampton,1,False
226,False,3,male,22.0,9.35,Southampton,0,True
227,True,2,male,19.0,10.5,Southampton,0,True
228,False,3,male,20.5,7.25,Southampton,0,True
229,False,2,male,18.0,13.0,Southampton,0,True
230,False,3,female,22.0,25.47,Southampton,4,False
231,True,1,female,35.0,83.48,Southampton,1,False
232,False,3,male,29.0,7.78,Southampton,0,True
233,False,2,male,59.0,13.5,Southampton,0,True
234,True,3,female,5.0,31.39,Southampton,6,False
235,False,2,male,24.0,10.5,Southampton,0,True
236,False,3,female,22.0,7.55,Southampton,0,True
237,False,2,male,44.0,26.0,Southampton,1,False
238,True,2,female,8.0,26.25,Southampton,2,False
239,False,2,male,19.0,10.5,Southampton,0,True
240,False,2,male,33.0,12.28,Southampton,0,True
241,False,3,female,22.0,14.45,Cherbourg,1,False
242,True,3,female,22.0,15.5,Queenstown,1,False
243,False,2,male,29.0,10.5,Southampton,0,True
244,False,3,male,22.0,7.12,Southampton,0,True
245,False,3,male,30.0,7.22,Cherbourg,0,True
246,False,1,male,44.0,90.0,Queenstown,2,False
247,False,3,female,25.0,7.78,Southampton,0,True
248,True,2,female,24.0,14.5,Southampton,2,False
249,True,1,male,37.0,52.55,Southampton,2,False
250,False,2,male,54.0,26.0,Southampton,1,False
251,False,3,male,25.0,7.25,Southampton,0,True
252,False,3,female,29.0,10.46,Southampton,2,False
253,False,1,male,62.0,26.55,Southampton,0,True
254,False,3,male,30.0,16.1,Southampton,1,False
255,False,3,female,41.0,20.21,Southampton,2,False
256,True,3,female,29.0,15.25,Cherbourg,2,False
257,True,1,female,35.0,79.2,Cherbourg,0,True
258,True,1,female,30.0,86.5,Southampton,0,True
259,True,1,female,35.0,512.33,Cherbourg,0,True
260,True,2,female,50.0,26.0,Southampton,1,False
261,False,3,male,25.0,7.75,Queenstown,0,True
262,True,3,male,3.0,31.39,Southampton,6,False
263,False,1,male,52.0,79.65,Southampton,2,False
264,False,1,male,40.0,0.0,Southampton,0,True
265,False,3,female,22.0,7.75,Queenstown,0,True
266,False,2,male,36.0,10.5,Southampton,0,True
267,False,3,male,16.0,39.69,Southampton,5,False
268,True,3,male,25.0,7.78,Southampton,1,False
269,True,1,female,58.0,153.46,Southampton,1,False
270,True,1,female,35.0,135.63,Southampton,0,True
271,False,1,male,40.0,31.0,Southampton,0,True
272,True,3,male,25.0,0.0,Southampton,0,True
273,True,2,female,41.0,19.5,Southampton,1,False
274,False,1,male,37.0,29.7,Cherbourg,1,False
275,True,3,female,22.0,7.75,Queenstown,0,True
276,True,1,female,63.0,77.96,Southampton,1,False
277,False,3,female,45.0,7.75,Southampton,0,True
278,False,2,male,30.0,0.0,Southampton,0,True
279,False,3,male,7.0,29.12,Queenstown,5,False
280,True,3,female,35.0,20.25,Southampton,2,False
281,False,3,male,65.0,7.75,Queenstown,0,True
282,False,3,male,28.0,7.85,Southampton,0,True
283,False,3,male,16.0,9.5,Southampton,0,True
284,True,3,male,19.0,8.05,Southampton,0,True
285,False,1,male,40.0,26.0,Southampton,0,True
286,False,3,male,33.0,8.66,Cherbourg,0,True
287,True,3,male,30.0,9.5,Southampton,0,True
288,False,3,male,22.0,7.9,Southampton,0,True
289,True,2,male,42.0,13.0,Southampton,0,True
290,True,3,female,22.0,7.75,Queenstown,0,True
291,True,1,female,26.0,78.85,Southampton,0,True
292,True,1,female,19.0,91.08,Cherbourg,1,False
293,False,2,male,36.0,12.88,Cherbourg,0,True
294,False,3,female,24.0,8.85,Southampton,0,True
295,False,3,male,24.0,7.9,Southampton,0,True
296,False,1,male,40.0,27.72,Cherbourg,0,True
297,False,3,male,23.5,7.23,Cherbourg,0,True
298,False,1,female,2.0,151.55,Southampton,3,False
299,True,1,male,40.0,30.5,Southampton,0,True
300,True,1,female,50.0,247.52,Cherbourg,1,False
301,True,3,female,22.0,7.75,Queenstown,0,True
302,True,3,male,25.0,23.25,Queenstown,2,False
303,False,3,male,19.0,0.0,Southampton,0,True
304,True,2,female,28.0,12.35,Queenstown,0,True
305,False,3,male,25.0,8.05,Southampton,0,True
306,True,1,male,0.92,151.55,Southampton,3,False
307,True,1,female,35.0,110.88,Cherbourg,0,True
308,True,1,female,17.0,108.9,Cherbourg,1,False
309,False,2,male,30.0,24.0,Cherbourg,1,False
310,True,1,female,30.0,56.93,Cherbourg,0,True
311,True,1,female,24.0,83.16,Cherbourg,0,True
312,True,1,female,18.0,262.38,Cherbourg,4,False
313,False,2,female,26.0,26.0,Southampton,2,False
314,False,3,male,28.0,7.9,Southampton,0,True
315,False,2,male,43.0,26.25,Southampton,2,False
316,True,3,female,26.0,7.85,Southampton,0,True
317,True,2,female,24.0,26.0,Southampton,1,False
318,False,2,male,54.0,14.0,Southampton,0,True
319,True,1,female,31.0,164.87,Southampton,2,False
320,True,1,female,40.0,134.5,Cherbourg,2,False
321,False,3,male,22.0,7.25,Southampton,0,True
322,False,3,male,27.0,7.9,Southampton,0,True
323,True,2,female,30.0,12.35,Queenstown,0,True
324,True,2,female,22.0,29.0,Southampton,2,False
325,False,3,male,25.0,69.55,Southampton,10,False
326,True,1,female,36.0,135.63,Cherbourg,0,True
327,False,3,male,61.0,6.24,Southampton,0,True
328,True,2,female,36.0,13.0,Southampton,0,True
329,True,3,female,31.0,20.52,Southampton,2,False
330,True,1,female,16.0,57.98,Cherbourg,1,False
331,True,3,female,22.0,23.25,Queenstown,2,False
332,False,1,male,45.5,28.5,Southampton,0,True
333,False,1,male,38.0,153.46,Southampton,1,False
334,False,3,male,16.0,18.0,Southampton,2,False
335,True,1,female,35.0,133.65,Southampton,1,False
336,False,3,male,25.0,7.9,Southampton,0,True
337,False,1,male,29.0,66.6,Southampton,1,False
338,True,1,female,41.0,134.5,Cherbourg,0,True
339,True,3,male,45.0,8.05,Southampton,0,True
340,False,1,male,45.0,35.5,Southampton,0,True
341,True,2,male,2.0,26.0,Southampton,2,False
342,True,1,female,24.0,263.0,Southampton,5,False
343,False,2,male,28.0,13.0,Southampton,0,True
344,False,2,male,25.0,13.0,Southampton,0,True
345,False,2,male,36.0,13.0,Southampton,0,True
346,True,2,female,24.0,13.0,Southampton,0,True
347,True,2,female,40.0,13.0,Southampton,0,True
348,True,3,female,22.0,16.1,Southampton,1,False
349,True,3,male,3.0,15.9,Southampton,2,False
350,False,3,male,42.0,8.66,Southampton,0,True
351,False,3,male,23.0,9.22,Southampton,0,True
352,False,1,male,40.0,35.0,Southampton,0,True
353,False,3,male,15.0,7.23,Cherbourg,2,False
354,False,3,male,25.0,17.8,Southampton,1,False
355,False,3,male,25.0,7.22,Cherbourg,0,True
356,False,3,male,28.0,9.5,Southampton,0,True
357,True,1,female,22.0,55.0,Southampton,1,False
358,False,2,female,38.0,13.0,Southampton,0,True
359,True,3,female,22.0,7.88,Queenstown,0,True
360,True,3,female,22.0,7.88,Queenstown,0,True
361,False,3,male,40.0,27.9,Southampton,5,False
362,False,2,male,29.0,27.72,Cherbourg,1,False
363,False,3,female,45.0,14.45,Cherbourg,1,False
364,False,3,male,35.0,7.05,Southampton,0,True
365,False,3,male,25.0,15.5,Queenstown,1,False
366,False,3,male,30.0,7.25,Southampton,0,True
367,True,1,female,60.0,75.25,Cherbourg,1,False
368,True,3,female,22.0,7.23,Cherbourg,0,True
369,True,3,female,22.0,7.75,Queenstown,0,True
370,True,1,female,24.0,69.3,Cherbourg,0,True
371,True,1,male,25.0,55.44,Cherbourg,1,False
372,False,3,male,18.0,6.5,Southampton,1,False
373,False,3,male,19.0,8.05,Southampton,0,True
374,False,1,male,22.0,135.63,Cherbourg,0,True
375,False,3,female,3.0,21.08,Southampton,4,False
376,True,1,female,35.0,82.17,Cherbourg,1,False
377,True,3,female,22.0,7.25,Southampton,0,True
378,False,1,male,27.0,211.5,Cherbourg,2,False
379,False,3,male,20.0,4.01,Cherbourg,0,True
380,False,3,male,19.0,7.78,Southampton,0,True
381,True,1,female,42.0,227.52,Cherbourg,0,True
382,True,3,female,1.0,15.74,Cherbourg,2,False
383,False,3,male,32.0,7.92,Southampton,0,True
384,True,1,female,35.0,52.0,Southampton,1,False
385,False,3,male,25.0,7.9,Southampton,0,True
386,False,2,male,18.0,73.5,Southampton,0,True
387,False,3,male,1.0,46.9,Southampton,7,False
388,True,2,female,36.0,13.0,Southampton,0,True
389,False,3,male,25.0,7.73,Queenstown,0,True
390,True,2,female,17.0,12.0,Cherbourg,0,True
391,True,1,male,36.0,120.0,Southampton,3,False
392,True,3,male,21.0,7.8,Southampton,0,True
393,False,3,male,28.0,7.92,Southampton,2,False
394,True,1,female,23.0,113.28,Cherbourg,1,False
395,True,3,female,24.0,16.7,Southampton,2,False
396,False,3,male,22.0,7.8,Southampton,0,True
397,False,3,female,31.0,7.85,Southampton,0,True
398,False,2,male,46.0,26.0,Southampton,0,True
399,False,2,male,23.0,10.5,Southampton,0,True
400,True,2,female,28.0,12.65,Southampton,0,True
401,True,3,male,39.0,7.92,Southampton,0,True
402,False,3,male,26.0,8.05,Southampton,0,True
403,False,3,female,21.0,9.82,Southampton,1,False
404,False,3,male,28.0,15.85,Southampton,1,False
405,False,3,female,20.0,8.66,Southampton,0,True
406,False,2,male,34.0,21.0,Southampton,1,False
407,False,3,male,51.0,7.75,Southampton,0,True
408,True,2,male,3.0,18.75,Southampton,2,False
409,False,3,male,21.0,7.78,Southampton,0,True
410,False,3,female,22.0,25.47,Southampton,4,False
411,False,3,male,25.0,7.9,Southampton,0,True
412,False,3,male,25.0,6.86,Queenstown,0,True
413,True,1,female,33.0,90.0,Queenstown,1,False
414,False,2,male,30.0,0.0,Southampton,0,True
415,True,3,male,44.0,7.92,Southampton,0,True
416,False,3,female,22.0,8.05,Southampton,0,True
417,True,2,female,34.0,32.5,Southampton,2,False
418,True,2,female,18.0,13.0,Southampton,2,False
419,False,2,male,30.0,13.0,Southampton,0,True
420,False,3,female,10.0,24.15,Southampton,2,False
421,False,3,male,25.0,7.9,Cherbourg,0,True
422,False,3,male,21.0,7.73,Queenstown,0,True
423,False,3,male,29.0,7.88,Southampton,0,True
424,False,3,female,28.0,14.4,Southampton,2,False
425,False,3,male,18.0,20.21,Southampton,2,False
426,False,3,male,25.0,7.25,Southampton,0,True
427,True,2,female,28.0,26.0,Southampton,1,False
428,True,2,female,19.0,26.0,Southampton,0,True
429,False,3,male,25.0,7.75,Queenstown,0,True
430,True,3,male,32.0,8.05,Southampton,0,True
431,True,1,male,28.0,26.55,Southampton,0,True
432,True,3,female,22.0,16.1,Southampton,1,False
433,True,2,female,42.0,26.0,Southampton,1,False
434,False,3,male,17.0,7.12,Southampton,0,True
435,False,1,male,50.0,55.9,Southampton,1,False
436,True,1,female,14.0,120.0,Southampton,3,False
437,False,3,female,21.0,34.38,Southampton,4,False
438,True,2,female,24.0,18.75,Southampton,5,False
439,False,1,male,64.0,263.0,Southampton,5,False
440,False,2,male,31.0,10.5,Southampton,0,True
441,True,2,female,45.0,26.25,Southampton,2,False
442,False,3,male,20.0,9.5,Southampton,0,True
443,False,3,male,25.0,7.78,Southampton,1,False
444,True,2,female,28.0,13.0,Southampton,0,True
445,True,3,male,25.0,8.11,Southampton,0,True
446,True,1,male,4.0,81.86,Southampton,2,False
447,True,2,female,13.0,19.5,Southampton,1,False
448,True,1,male,34.0,26.55,Southampton,0,True
449,True,3,female,5.0,19.26,Cherbourg,3,False
450,True,1,male,52.0,30.5,Southampton,0,True
451,False,2,male,36.0,27.75,Southampton,3,False
452,False,3,male,25.0,19.97,Southampton,1,False
453,False,1,male,30.0,27.75,Cherbourg,0,True
454,True,1,male,49.0,89.1,Cherbourg,1,False
455,False,3,male,25.0,8.05,Southampton,0,True
456,True,3,male,29.0,7.9,Cherbourg,0,True
457,False,1,male,65.0,26.55,Southampton,0,True
458,True,1,female,35.0,51.86,Southampton,1,False
459,True,2,female,50.0,10.5,Southampton,0,True
460,False,3,male,25.0,7.75,Queenstown,0,True
461,True,1,male,48.0,26.55,Southampton,0,True
462,False,3,male,34.0,8.05,Southampton,0,True
463,False,1,male,47.0,38.5,Southampton,0,True
464,False,2,male,48.0,13.0,Southampton,0,True
465,False,3,male,25.0,8.05,Southampton,0,True
466,False,3,male,38.0,7.05,Southampton,0,True
467,False,2,male,30.0,0.0,Southampton,0,True
468,False,1,male,56.0,26.55,Southampton,0,True
469,False,3,male,25.0,7.72,Queenstown,0,True
470,True,3,female,0.75,19.26,Cherbourg,3,False
471,False,3,male,25.0,7.25,Southampton,0,True
472,False,3,male,38.0,8.66,Southampton,0,True
473,True,2,female,33.0,27.75,Southampton,3,False
474,True,2,female,23.0,13.79,Cherbourg,0,True
475,False,3,female,22.0,9.84,Southampton,0,True
476,False,1,male,40.0,52.0,Southampton,0,True
477,False,2,male,34.0,21.0,Southampton,1,False
478,False,3,male,29.0,7.05,Southampton,1,False
479,False,3,male,22.0,7.52,Southampton,0,True
480,True,3,female,2.0,12.29,Southampton,1,False
481,False,3,male,9.0,46.9,Southampton,7,False
482,False,2,male,30.0,0.0,Southampton,0,True
483,False,3,male,50.0,8.05,Southampton,0,True
484,True,3,female,63.0,9.59,Southampton,0,True
485,True,1,male,25.0,91.08,Cherbourg,1,False
486,False,3,female,22.0,25.47,Southampton,4,False
487,True,1,female,35.0,90.0,Southampton,1,False
488,False,1,male,58.0,29.7,Cherbourg,0,True
489,False,3,male,30.0,8.05,Southampton,0,True
490,True,3,male,9.0,15.9,Southampton,2,False
491,False,3,male,25.0,19.97,Southampton,1,False
492,False,3,male,21.0,7.25,Southampton,0,True
493,False,1,male,55.0,30.5,Southampton,0,True
494,False,1,male,71.0,49.5,Cherbourg,0,True
495,False,3,male,21.0,8.05,Southampton,0,True
496,False,3,male,25.0,14.46,Cherbourg,0,True
497,True,1,female,54.0,78.27,Cherbourg,1,False
498,False,3,male,25.0,15.1,Southampton,0,True
499,False,1,female,25.0,151.55,Southampton,3,False
500,False,3,male,24.0,7.8,Southampton,0,True
501,False,3,male,17.0,8.66,Southampton,0,True
502,False,3,female,21.0,7.75,Queenstown,0,True
503,False,3,female,22.0,7.63,Queenstown,0,True
504,False,3,female,37.0,9.59,Southampton,0,True
505,True,1,female,16.0,86.5,Southampton,0,True
506,False,1,male,18.0,108.9,Cherbourg,1,False
507,True,2,female,33.0,26.0,Southampton,2,False
508,True,1,male,40.0,26.55,Southampton,0,True
509,False,3,male,28.0,22.52,Southampton,0,True
510,True,3,male,26.0,56.5,Southampton,0,True
511,True,3,male,29.0,7.75,Queenstown,0,True
512,False,3,male,25.0,8.05,Southampton,0,True
513,True,1,male,36.0,26.29,Southampton,0,True
514,True,1,female,54.0,59.4,Cherbourg,1,False
515,False,3,male,24.0,7.5,Southampton,0,True
516,False,1,male,47.0,34.02,Southampton,0,True
517,True,2,female,34.0,10.5,Southampton,0,True
518,False,3,male,25.0,24.15,Queenstown,0,True
519,True,2,female,36.0,26.0,Southampton,1,False
520,False,3,male,32.0,7.9,Southampton,0,True
521,True,1,female,30.0,93.5,Southampton,0,True
522,False,3,male,22.0,7.9,Southampton,0,True
523,False,3,male,25.0,7.22,Cherbourg,0,True
524,True,1,female,44.0,57.98,Cherbourg,1,False
525,False,3,male,25.0,7.23,Cherbourg,0,True
526,False,3,male,40.5,7.75,Queenstown,0,True
527,True,2,female,50.0,10.5,Southampton,0,True
528,False,1,male,40.0,221.78,Southampton,0,True
529,False,3,male,39.0,7.92,Southampton,0,True
530,False,2,male,23.0,11.5,Southampton,3,False
531,True,2,female,2.0,26.0,Southampton,2,False
532,False,3,male,25.0,7.23,Cherbourg,0,True
533,False,3,male,17.0,7.23,Cherbourg,2,False
534,True,3,female,22.0,22.36,Cherbourg,2,False
535,False,3,female,30.0,8.66,Southampton,0,True
536,True,2,female,7.0,26.25,Southampton,2,False
537,False,1,male,45.0,26.55,Southampton,0,True
538,True,1,female,30.0,106.42,Cherbourg,0,True
539,False,3,male,25.0,14.5,Southampton,0,True
540,True,1,female,22.0,49.5,Cherbourg,2,False
541,True,1,female,36.0,71.0,Southampton,2,False
542,False,3,female,9.0,31.28,Southampton,6,False
543,False,3,female,11.0,31.28,Southampton,6,False
544,True,2,male,32.0,26.0,Southampton,1,False
545,False,1,male,50.0,106.42,Cherbourg,1,False
546,False,1,male,64.0,26.0,Southampton,0,True
